gov_name_f,adm_id,gov_id,deleg_na_1,population 
Kebili,g63d54,63,Douz Nord,157
Sousse,g31d52,31,Sousse Riadh,675
Sfax,g34d56,34,Thyna,955.4
Manubah,g14d52,14,Douar Hicher,379.5
Ariana,g12d-2,12,Sebkhet Ariana,576.1
Sousse,g31d61,31,Bouficha,675
Siliana,g24d58,24,Rouhia,223.1
Sousse,g31d60,31,Enfidha,675
Béja,g21d54,21,Nefza,303
Ariana,g12d51,12,Ariana Médina,576.1
Ariana,g12d56,12,Ettadhamen,576.1
Ariana,g12d54,12,Kalaat El Andalous,576.1
Tunis,g11d54,11,Bab Souika,1056.2
Tunis,g11d60,11,Bardo,1056.2
Ben Arous,g13d51,13,Ben Arous,631.8
Ben Arous,g13d56,13,Boumhel,631.8
Siliana,g24d51,24,Siliana Nord,223.1
Ben Arous,g13d53,13,El Mourouj,631.8
Gabès,g51d60,51,Mareth,374.3
Ben Arous,g13d52,13,Nouvelle Médina,631.8
Manubah,g14d51,14,Manouba,379.5
Siliana,g24d52,24,Siliana Sud,223.1
Ariana,g12d57,12,Mnihla,576.1
Ben Arous,g13d61,13,Fouchana,631.8
Tunis,g11d57,11,El Tahrir,1056.2
Tunis,g11d53,11,Ezzouhour,1056.2
Gafsa,g61d57,61,Metlaoui,337.3
Jendouba,g22d55,22,Aïn Draham,401.5
Tunis,g11d68,11,Jebel Jelloud,1056.2
Jendouba,g22d53,22,Bousalem,401.5
Tataouine,g53d55,53,Ghomrassen,149.5
Jendouba,g22d57,22,Ghardimaou,401.5
Jendouba,g22d54,22,Tabarka,401.5
Ariana,g12d55,12,Sidi Thabet,576.1
Kassérine,g42d61,42,Foussana,429.9
Ariana,g12d52,12,Soukra,576.1
Médenine,g52d57,52,Djerba Midoun,479.5
Médenine,g52d56,52,Houmt Souk,479.5
Jendouba,g22d58,22,Oued Mliz,401.5
Kairouan,g41d58,41,Hajeb El Ayoun,570.6
Mahdia,g33d58,33,Chebba,410.8
Médenine,g52d51,52,Médenine Nord,479.5
Bizerte,g17d63,17,El Alia,568.2
Bizerte,g17d59,17,Tinja,568.2
Bizerte,g17d57,17,Ghazala,568.2
Mahdia,g33d61,33,Ksour Essef,410.8
Ben Arous,g13d57,13,Ezzahra,631.8
Gabès,g51d51,51,Gabès Médina,374.3
Ben Arous,g13d54,13,Hammam Lif,631.8
Médenine,g52d59,52,Sidi Makhlouf,479.5
Monastir,g32d51,32,Monastir,548.8
Nabeul,g15d59,15,Haouaria,787.9
Nabeul,g15d60,15,Takelsa,787.9
Ben Arous,g13d59,13,Mégrine,631.8
Ben Arous,g13d60,13,M'Hamdia,631.8
Sfax,g34d66,34,Kerkennah,955.4
Sfax,g34d52,34,Sfax Ouest,955.4
Sfax,g34d64,34,Skhira,955.4
Siliana,g24d59,24,Kesra,223.1
Gabès,g51d52,51,Gabès Ouest,374.3
Sidi Bou Zid,g43d60,43,Mazzouna,429.9
Siliana,g24d61,24,Laroussa,223.1
Zaghouan,g16d52,16,Zriba,176.9
Sidi Bou Zid,g43d56,43,Sidi Ali Ben Aoun,429.9
